Episodio,Puntaje
1451,[306.]
1452,[1106.]
1453,[110.]
1454,[282.]
1455,[1106.]
1456,[1106.]
1457,[1106.]
1458,[236.]
1459,[1106.]
1460,[556.]
1461,[1106.]
1462,[124.]
1463,[159.]
1464,[351.]
1465,[1106.]
1466,[1106.]
1467,[372.]
1468,[1106.]
1469,[716.]
1470,[97.]
1471,[115.]
1472,[302.]
1473,[127.]
1474,[156.]
1475,[1106.]
1476,[289.]
1477,[1106.]
1478,[1106.]
1479,[97.]
1480,[1106.]
1481,[504.]
1482,[529.]
1483,[1106.]
1484,[1106.]
1485,[1106.]
1486,[179.]
1487,[1106.]
1488,[1106.]
1489,[137.]
1490,[186.]
1491,[304.]
1492,[1106.]
1493,[1106.]
1494,[72.]
1495,[172.]
1496,[365.]
1497,[477.]
1498,[1106.]
1499,[1106.]
1500,[1106.]
1501,[1106.]
1502,[146.]
1503,[1106.]
1504,[1106.]
1505,[138.]
1506,[1106.]
1507,[401.]
1508,[313.]
1509,[1106.]
1510,[451.]
1511,[1106.]
1512,[1106.]
1513,[124.]
1514,[1106.]
1515,[1106.]
1516,[1106.]
1517,[1106.]
1518,[1106.]
1519,[1106.]
1520,[1106.]
1521,[252.]
1522,[1106.]
1523,[1106.]
1524,[303.]
1525,[334.]
1526,[1106.]
1527,[1106.]
1528,[1106.]
1529,[1106.]
1530,[1124.]
1531,[156.]
1532,[1106.]
1533,[1106.]
1534,[220.]
1535,[1106.]
1536,[402.]
1537,[203.]
1538,[263.]
1539,[514.]
1540,[122.]
1541,[229.]
1542,[1106.]
1543,[1106.]
1544,[1106.]
1545,[307.]
1546,[1106.]
1547,[1106.]
1548,[1106.]
1549,[1106.]
1550,[1106.]
1551,[1106.]
1552,[122.]
1553,[1106.]
1554,[84.]
1555,[1106.]
1556,[1106.]
1557,[1106.]
1558,[421.]
1559,[491.]
1560,[1106.]
1561,[288.]
1562,[207.]
1563,[138.]
1564,[322.]
1565,[239.]
1566,[281.]
1567,[444.]
1568,[1106.]
1569,[281.]
1570,[133.]
1571,[135.]
1572,[1106.]
1573,[449.]
1574,[465.]
1575,[1106.]
1576,[760.]
1577,[1106.]
1578,[1106.]
1579,[1106.]
1580,[1106.]
1581,[391.]
1582,[946.]
1583,[1106.]
1584,[270.]
1585,[100.]
1586,[160.]
1587,[271.]
1588,[1106.]
1589,[1106.]
1590,[1106.]
1591,[98.]
1592,[1106.]
1593,[148.]
1594,[1106.]
1595,[223.]
1596,[259.]
1597,[98.]
1598,[584.]
1599,[256.]
1600,[1106.]
1601,[115.]
1602,[1106.]
1603,[1106.]
1604,[1106.]
1605,[134.]
1606,[1106.]
1607,[145.]
1608,[1106.]
1609,[130.]
1610,[450.]
1611,[128.]
1612,[292.]
1613,[315.]
1614,[1106.]
1615,[1106.]
1616,[1106.]
1617,[1106.]
1618,[122.]
1619,[1106.]
1620,[305.]
1621,[149.]
1622,[176.]
1623,[1106.]
1624,[288.]
1625,[1106.]
1626,[248.]
1627,[292.]
1628,[162.]
1629,[98.]
1630,[495.]
