Episodio,Puntaje
839,[2580.]
840,[2559.]
841,[1006.]
842,[2561.]
843,[483.]
844,[2523.]
845,[1460.]
846,[1006.]
847,[2513.]
848,[2540.]
849,[2600.]
850,[2538.]
851,[2540.]
852,[1924.]
853,[2490.]
854,[2623.]
855,[667.]
856,[2561.]
857,[2561.]
858,[2510.]
859,[994.]
860,[2574.]
861,[1006.]
862,[2611.]
863,[507.]
864,[2561.]
865,[2503.]
866,[2585.]
867,[2547.]
868,[2563.]
869,[2104.]
870,[816.]
871,[2575.]
872,[2536.]
873,[2574.]
874,[2518.]
875,[2030.]
876,[2581.]
877,[2497.]
878,[2537.]
879,[2554.]
880,[2567.]
881,[1896.]
882,[2463.]
883,[2540.]
884,[2561.]
885,[2263.]
886,[2513.]
887,[2540.]
888,[787.]
889,[2545.]
890,[2603.]
891,[2582.]
892,[2561.]
893,[2549.]
894,[2547.]
895,[747.]
896,[982.]
897,[2327.]
898,[2443.]
899,[1850.]
900,[2548.]
901,[2541.]
902,[2557.]
903,[2563.]
904,[2563.]
905,[2552.]
906,[2605.]
907,[2569.]
908,[2540.]
909,[1113.]
910,[2536.]
911,[2574.]
912,[928.]
913,[2600.]
914,[2540.]
915,[2582.]
916,[2540.]
917,[2466.]
918,[2540.]
919,[2513.]
920,[2561.]
921,[2513.]
922,[2539.]
923,[2569.]
924,[2544.]
925,[2554.]
926,[499.]
927,[2570.]
928,[2574.]
929,[2587.]
930,[2559.]
931,[2570.]
932,[2563.]
933,[2580.]
934,[2585.]
935,[2598.]
936,[2512.]
937,[2564.]
938,[1948.]
939,[2569.]
940,[2540.]
941,[2579.]
942,[2464.]
943,[2561.]
944,[617.]
945,[2507.]
946,[2565.]
947,[2506.]
948,[982.]
949,[2590.]
950,[2533.]
951,[2540.]
952,[2534.]
953,[2536.]
954,[2561.]
955,[2507.]
956,[1458.]
957,[2050.]
958,[2507.]
959,[2547.]
960,[1655.]
961,[1924.]
962,[2583.]
963,[2448.]
964,[2568.]
965,[2561.]
966,[2584.]
967,[1656.]
968,[982.]
969,[2372.]
970,[2590.]
971,[2622.]
972,[2540.]
973,[387.]
974,[2536.]
975,[2536.]
976,[2572.]
977,[2534.]
978,[1006.]
979,[2362.]
980,[2567.]
981,[2595.]
982,[2467.]
983,[2563.]
984,[2562.]
985,[1774.]
986,[2576.]
987,[2103.]
988,[2569.]
989,[1006.]
990,[2546.]
991,[2582.]
992,[2510.]
993,[2598.]
994,[1182.]
995,[2554.]
996,[2525.]
997,[2561.]
998,[2513.]
999,[2559.]
1000,[2513.]
1001,[2559.]
1002,[2569.]
1003,[2547.]
1004,[2572.]
1005,[707.]
1006,[2578.]
1007,[2580.]
1008,[2564.]
1009,[2478.]
1010,[2217.]
1011,[738.]
1012,[2559.]
1013,[1447.]
1014,[2606.]
1015,[2586.]
1016,[2569.]
1017,[2517.]
1018,[2574.]
1019,[2438.]
1020,[2540.]
1021,[1006.]
1022,[2561.]
1023,[2540.]
1024,[2566.]
1025,[2517.]
1026,[2554.]
1027,[2538.]
1028,[2540.]
1029,[766.]
1030,[1006.]
1031,[2487.]
1032,[1924.]
1033,[982.]
1034,[2570.]
1035,[1775.]
1036,[1006.]
1037,[2552.]
1038,[2542.]
1039,[2513.]
1040,[2493.]
