Episodio,Puntaje
1010,[2397.]
1011,[2009.]
1012,[977.]
1013,[1030.]
1014,[2390.]
1015,[2506.]
1016,[2395.]
1017,[1583.]
1018,[2207.]
1019,[2299.]
1020,[2101.]
1021,[2375.]
1022,[1484.]
1023,[2476.]
1024,[2464.]
1025,[2484.]
1026,[1770.]
1027,[2370.]
1028,[2399.]
1029,[2066.]
1030,[2478.]
1031,[2101.]
1032,[2486.]
1033,[2394.]
1034,[2430.]
1035,[2101.]
1036,[819.]
1037,[307.]
1038,[1578.]
1039,[1583.]
1040,[2389.]
1041,[2390.]
1042,[2098.]
1043,[2397.]
1044,[2207.]
1045,[2270.]
1046,[2399.]
1047,[1547.]
1048,[1296.]
1049,[2301.]
1050,[2380.]
1051,[307.]
1052,[2101.]
1053,[2399.]
1054,[2101.]
1055,[683.]
1056,[2416.]
1057,[1648.]
1058,[2106.]
1059,[2390.]
1060,[2098.]
1061,[2101.]
1062,[2299.]
1063,[2385.]
1064,[825.]
1065,[1770.]
1066,[2191.]
1067,[2398.]
1068,[2379.]
1069,[1853.]
1070,[2098.]
1071,[2214.]
1072,[1313.]
1073,[2503.]
1074,[2437.]
1075,[2421.]
1076,[2518.]
1077,[2398.]
1078,[691.]
1079,[2404.]
1080,[2288.]
1081,[2448.]
1082,[2454.]
1083,[2426.]
1084,[2471.]
1085,[2398.]
1086,[715.]
1087,[1626.]
1088,[2380.]
1089,[1603.]
1090,[2467.]
1091,[2098.]
1092,[2378.]
1093,[2207.]
1094,[2101.]
1095,[307.]
1096,[857.]
1097,[2381.]
1098,[307.]
1099,[2421.]
1100,[2397.]
1101,[1662.]
1102,[2329.]
1103,[499.]
1104,[2207.]
1105,[2417.]
1106,[2101.]
1107,[2102.]
1108,[2433.]
1109,[2106.]
1110,[2428.]
1111,[2437.]
1112,[691.]
1113,[403.]
1114,[1583.]
1115,[2241.]
1116,[2395.]
1117,[1619.]
1118,[2098.]
1119,[1843.]
1120,[2390.]
1121,[2437.]
1122,[2376.]
1123,[2404.]
1124,[1574.]
1125,[1500.]
1126,[736.]
1127,[1517.]
1128,[2397.]
1129,[2364.]
1130,[2378.]
1131,[2098.]
1132,[2448.]
1133,[2399.]
1134,[1521.]
1135,[1046.]
1136,[2452.]
1137,[2401.]
1138,[2390.]
1139,[2259.]
1140,[2487.]
1141,[1583.]
1142,[2389.]
1143,[2383.]
1144,[2121.]
1145,[2399.]
1146,[2389.]
1147,[2397.]
1148,[2401.]
1149,[1820.]
1150,[939.]
1151,[2399.]
1152,[1009.]
1153,[2012.]
1154,[2098.]
1155,[2507.]
1156,[2346.]
1157,[2399.]
1158,[2239.]
1159,[839.]
1160,[2390.]
1161,[2437.]
1162,[2193.]
1163,[2098.]
1164,[2383.]
1165,[530.]
1166,[2411.]
1167,[2423.]
1168,[2434.]
1169,[2390.]
1170,[2446.]
1171,[2430.]
1172,[2440.]
1173,[2399.]
1174,[2101.]
1175,[2399.]
1176,[2376.]
1177,[2197.]
1178,[2193.]
1179,[2438.]
1180,[2210.]
1181,[1583.]
1182,[2389.]
1183,[1046.]
1184,[2398.]
1185,[2238.]
1186,[1156.]
1187,[2348.]
1188,[2401.]
1189,[2399.]
1190,[2389.]
1191,[2481.]
1192,[2380.]
1193,[1144.]
1194,[2379.]
1195,[2440.]
1196,[2331.]
1197,[2437.]
1198,[2399.]
1199,[1143.]
1200,[2399.]
1201,[2381.]
1202,[2389.]
1203,[2442.]
1204,[2479.]
1205,[2428.]
1206,[2106.]
1207,[2403.]
1208,[1583.]
1209,[2389.]
1210,[2390.]
1211,[2497.]
1212,[2214.]
1213,[2437.]
1214,[2086.]
1215,[2098.]
1216,[2194.]
1217,[1219.]
1218,[1770.]
1219,[2432.]
1220,[2401.]
1221,[1714.]
1222,[2263.]
1223,[1203.]
1224,[1161.]
1225,[2425.]
1226,[1091.]
1227,[2262.]
1228,[2210.]
1229,[946.]
1230,[2397.]
1231,[2239.]
1232,[1578.]
1233,[1583.]
1234,[2207.]
1235,[1488.]
1236,[910.]
1237,[2401.]
1238,[2098.]
1239,[2106.]
1240,[2397.]
1241,[2363.]
1242,[2428.]
1243,[1748.]
1244,[2388.]
1245,[2403.]
1246,[1583.]
1247,[1990.]
1248,[1583.]
1249,[2417.]
1250,[1578.]
1251,[1583.]
1252,[2401.]
1253,[2508.]
1254,[2317.]
1255,[2399.]
1256,[914.]
1257,[1404.]
1258,[776.]
1259,[1044.]
1260,[2245.]
1261,[2176.]
1262,[1583.]
1263,[2503.]
1264,[2442.]
1265,[2461.]
1266,[2435.]
1267,[2437.]
1268,[2223.]
1269,[2400.]
1270,[1553.]
1271,[2376.]
